trajectory_id,instance_id,repo,total_tokens,assistant_turns,total_tool_calls,exit_status,ends_with_submit,is_error_or_timeout,resolved,has_patch,patch_length,avg_observation_length,num_observations,unique_action_ratio,test_alignment_score,redundant_cmds_ratio,error_retry_count,total_action_pairs,obs_noise_char_ratio,obs_utilization_ratio,truncation_ratio,outcome_success,step_efficiency,observation_noise,action_diversity,composite_Q
chatcmpl-11a4217eb66778d0cb16efb6c4dfc627,sodafoundation__delfin-323,sodafoundation/delfin,43692,51,51,submit,True,False,0,True,19073,2788.2156862745096,51,0.9411764705882353,1.0,0.0196078431372549,6,50,0.016547233102905085,0.31343283582089554,1.0,0.5,0.7843137254901961,0.7211784313725491,0.6589754157444193,0.7559370513783634
chatcmpl-58f5e8925e2dfd099d9a63b5c45a2807,jupyter__nbclient-307,jupyter/nbclient,36340,62,62,submit,True,False,0,True,27760,1677.1451612903227,62,0.8225806451612904,1.0,0.0967741935483871,6,61,0.035073040785513016,0.4117647058823529,1.0,0.5,0.6451612903225806,0.8322854838709677,0.6329333276894266,0.7421684134141039
chatcmpl-f0fca0fe6ca88ef6c4cd7714e928f326,USEPA__WNTR-272,USEPA/WNTR,27726,49,49,submit,True,False,1,True,11785,1789.6326530612246,49,0.8979591836734694,1.0,0.04081632653061224,4,48,0.042831729234137667,0.24293785310734464,1.0,1.0,0.8163265306122448,0.8210367346938775,0.6882024431876042,0.9052410606452911
chatcmpl-f9f60d0d32f02ed57cd1f2e637894913,dwavesystems__dwave-cloud-client-289,dwavesystems/dwave-cloud-client,49029,73,73,submit,True,False,1,True,27650,2018.986301369863,73,0.8904109589041096,1.0,0.0684931506849315,9,72,0.042629557759895784,0.4396551724137931,1.0,1.0,0.547945205479452,0.7981013698630137,0.6479702952088522,0.8441012760962276
chatcmpl-75608a4831c608d85f8d3defdb617394,asottile__pyupgrade-195,asottile/pyupgrade,31161,59,59,submit,True,False,1,True,2552,3008.762711864407,59,0.9322033898305084,1.0,0.03389830508474576,10,58,0.026234107155934362,0.4083333333333333,1.0,1.0,0.6779661016949152,0.6991237288135593,0.6429157989586679,0.8547533595568837
chatcmpl-588bcbee9349d22a230ed95a5787d4f7,astropy__sphinx-automodapi-142,astropy/sphinx-automodapi,66355,76,76,submit,True,False,1,True,27779,2530.8026315789475,76,0.8552631578947368,1.0,0.10526315789473684,6,75,0.07157600303627412,0.39705882352941174,1.0,1.0,0.5263157894736842,0.7469197368421052,0.5945834110833964,0.8267594595293923
chatcmpl-25437a158ff2980c1daae6b9aad5b21e,zalando-stups__senza-567,zalando-stups/senza,50988,56,56,submit,True,False,1,True,23133,4394.446428571428,56,0.875,1.0,0.05357142857142857,10,55,0.06341608117388424,0.27325581395348836,1.0,1.0,0.8928571428571429,0.5605553571428572,0.6699541242729007,0.8796501445701472
chatcmpl-a96f75daa9508fff97fbb6dc79a586c5,CS-SI__eodag-588,CS-SI/eodag,47024,61,61,submit,True,False,1,True,3737,2807.7377049180327,61,0.8032786885245902,1.0,0.09836065573770492,21,60,0.05653580269979915,0.3935018050541516,1.0,1.0,0.6557377049180328,0.7192262295081968,0.6031881487846722,0.8493502902883034
chatcmpl-006fa97ce4473d336650fb0863c0a4b7,MycroftAI__lingua-franca-87,MycroftAI/lingua-franca,51256,47,47,submit,True,False,1,True,1087,3666.1063829787236,47,0.9361702127659575,1.0,0.0,4,46,0.013249606806455918,0.2198581560283688,1.0,1.0,0.851063829787234,0.6333893617021276,0.6974581463186129,0.8849669848446272
chatcmpl-d9468704183c1cca585ac6b6942e5c33,NeuralEnsemble__python-neo-664,NeuralEnsemble/python-neo,38056,57,57,submit,True,False,0,True,670,2776.6140350877195,57,0.9473684210526315,1.0,0.017543859649122806,7,56,0.0536498448823823,0.38095238095238093,1.0,0.5,0.7017543859649122,0.7223385964912281,0.6390589490884724,0.737607561575514
chatcmpl-ab234dba66c6460fe72528a22d2402ae,simpeg__simpeg-1237,simpeg/simpeg,50994,60,60,submit,True,False,0,True,34440,2831.5,60,0.9833333333333333,1.0,0.0,4,59,0.004314556477720878,0.125,1.0,0.5,0.6666666666666666,0.71685,0.6595968108850615,0.7318205144218395
chatcmpl-ba475ca55595560eb431dd7e1adea29e,mrf345__flask_minify-33,mrf345/flask_minify,39082,50,50,submit,True,False,1,True,13218,3794.98,50,0.82,1.0,0.06,3,49,0.08362626417003516,0.30288461538461536,1.0,1.0,0.8,0.620502,0.6706960482661741,0.8701449048266174
chatcmpl-c2d9a476cd6238b5b481247e34a59e1d,marshmallow-code__apispec-424,marshmallow-code/apispec,64805,85,85,submit,True,False,0,True,26220,3359.423529411765,85,0.8588235294117647,1.0,0.047058823529411764,10,84,0.09817160507229881,0.2757201646090535,1.0,0.5,0.47058823529411764,0.6640576470588235,0.6673452487303113,0.6854608189906781
chatcmpl-9ce4174a9eecfc3213921faf8fcc7381,iterative__dvc-1492,iterative/dvc,35815,55,55,submit,True,False,1,True,14511,2120.836363636364,55,0.8727272727272727,1.0,0.05454545454545454,8,54,0.061810949368173794,0.22282608695652173,1.0,1.0,0.7272727272727273,0.7879163636363636,0.6484522400812328,0.8784872240081234
chatcmpl-b22110322b252ec98e68cf692ffd4860,reanahub__reana-client-608,reanahub/reana-client,68524,68,68,submit,True,False,1,True,4439,3725.1470588235293,68,0.8676470588235294,1.0,0.058823529411764705,11,67,0.026631400260550313,0.26813880126182965,1.0,1.0,0.7352941176470589,0.6274852941176471,0.6182662228529807,0.853008239932357
chatcmpl-939723f734b241a8b6addc52b7b9a9e5,enowars__enochecker-82,enowars/enochecker,41185,49,49,submit,True,False,1,True,1925,3175.8571428571427,49,0.8571428571428571,1.0,0.10204081632653061,6,48,0.05155606392617773,0.35251798561151076,1.0,1.0,1.0,0.6824142857142858,0.6169988999450086,0.9140620328516437
chatcmpl-725035cd568d57bf35dbec433f3315a1,PennyLaneAI__pennylane-3104,PennyLaneAI/pennylane,45876,45,45,submit,True,False,0,True,16577,3370.9777777777776,45,0.9777777777777777,1.0,0.022222222222222223,6,44,0.026711669545268765,0.12987012987012986,1.0,0.5,0.888888888888889,0.6629022222222223,0.6616679587690164,0.7683799069880128
chatcmpl-0e65c9832df21053e307e104438d1fee,bvanelli__actualpy-108,bvanelli/actualpy,70357,91,91,submit,True,False,0,True,2655,2987.4835164835163,91,0.8681318681318682,1.0,0.06593406593406594,22,90,0.04835191513310111,0.4647887323943662,1.0,0.5,0.4395604395604396,0.7012516483516484,0.6633244416168244,0.6844322793265176
chatcmpl-bff275dc2463a5017e59eff7885d131b,conan-io__conan-12578,conan-io/conan,36397,41,41,submit,True,False,1,True,2190,2803.9024390243903,41,0.9024390243902439,1.0,0.04878048780487805,4,40,0.016744954766875434,0.2627118644067797,1.0,1.0,0.975609756097561,0.719609756097561,0.6624093080881369,0.91930434544296
chatcmpl-a9d48c1d8a07aa193cfa6a4b00cb71ef,Nicoretti__crc-153,Nicoretti/crc,24071,43,43,submit,True,False,1,True,1959,2878.906976744186,43,0.9069767441860465,1.0,0.046511627906976744,3,42,0.013740680006139282,0.3333333333333333,1.0,1.0,1.0,0.7121093023255813,0.6678902068358761,0.9236054160324249
chatcmpl-695fe77270d1fabe54a4c58c91248c33,magmax__python-inquirer-587,magmax/python-inquirer,29148,49,49,submit,True,False,0,True,18535,2347.122448979592,49,0.8163265306122449,1.0,0.061224489795918366,7,48,0.02448504030119382,0.36082474226804123,1.0,0.5,0.8163265306122448,0.7652877551020408,0.6901630058042636,0.7720747699681815
chatcmpl-bbbad5258287e834e9d7f78c50589430,PennLINC__xcp_d-1232,PennLINC/xcp_d,88910,99,99,submit,True,False,0,True,35334,2292.131313131313,99,0.8686868686868687,1.0,0.04040404040404041,26,98,0.03474336883761309,0.559322033898305,1.0,0.5,0.4040404040404041,0.7707868686868686,0.596109322830922,0.6810370433942033
chatcmpl-e42d88827fbacc08d1fd0173e4087bdb,SpikeInterface__spikeinterface-2716,SpikeInterface/spikeinterface,46068,47,47,submit,True,False,0,True,626,3767.744680851064,47,0.9361702127659575,1.0,0.0,4,46,0.007369384021142508,0.1409090909090909,1.0,0.5,0.851063829787234,0.6232255319148936,0.6800938932794875,0.7567059850726296
chatcmpl-c95598adf53e394a4f5b03a546ebe5f9,joshuadavidthomas__django-bird-153,joshuadavidthomas/django-bird,22212,48,48,submit,True,False,0,True,852,1292.4791666666667,48,0.9166666666666666,1.0,0.020833333333333332,2,47,0.030948274472509228,0.3770491803278688,1.0,0.5,0.8333333333333333,0.8707520833333333,0.6741393199462408,0.7896934111612908
chatcmpl-ef3f1dd8fa1ee5a3957718c72a6d2561,TheFriendlyCoder__friendlypins-28,TheFriendlyCoder/friendlypins,31949,51,51,submit,True,False,0,True,1011,2859.0588235294117,51,0.8235294117647058,1.0,0.0784313725490196,5,50,0.04092255781417167,0.25,1.0,0.5,0.7843137254901961,0.7140941176470588,0.7367557384705304,0.762652436592151
chatcmpl-7cc8414c577af77f378d432b4707fa66,tobymao__sqlglot-1548,tobymao/sqlglot,59273,91,91,submit,True,False,0,True,43995,1879.1208791208792,91,0.945054945054945,1.0,0.02197802197802198,19,90,0.024,0.3333333333333333,1.0,0.5,0.4395604395604396,0.8120879120879121,0.462035156439523,0.680928790369227
chatcmpl-4bb08714a88e5ba6fff01429c44cf3e9,StevenLooman__python-didl-lite-14,StevenLooman/python-didl-lite,30767,43,43,submit,True,False,1,True,11972,2841.9767441860463,43,0.8604651162790697,1.0,0.09302325581395349,3,42,0.006079947628984084,0.5306122448979592,1.0,1.0,0.9302325581395349,0.7158023255813954,0.7090713144040748,0.9143239919055238
chatcmpl-59da2350e9905359ebd06963303148bd,ProgrammersOfVilnius__pov-server-page-49,ProgrammersOfVilnius/pov-server-page,32633,48,48,submit,True,False,0,True,2201,4519.791666666667,48,0.8333333333333334,1.0,0.0625,7,47,0.013187370361834524,0.28703703703703703,1.0,0.5,0.8333333333333333,0.5480208333333333,0.6659247857842048,0.7404622702450872
chatcmpl-71930d070226fba7848f780fe8d4edcc,Textualize__textual-3988,Textualize/textual,60845,92,92,submit,True,False,1,True,21795,2147.445652173913,92,0.9021739130434783,1.0,0.043478260869565216,10,91,0.02060587654695923,0.2126865671641791,1.0,1.0,0.43478260869565216,0.7852554347826087,0.6012211531070016,0.8148669522672218
chatcmpl-5b7217cb280571dcc72463949ae3cfef,statsmodels__statsmodels-8828,statsmodels/statsmodels,38656,44,44,submit,True,False,0,True,1019,4295.295454545455,44,0.9318181818181818,1.0,0.045454545454545456,6,43,0.004105972178863768,0.43636363636363634,1.0,0.5,0.9090909090909092,0.5704704545454545,0.6423870426456929,0.7566274542645692
chatcmpl-35f84b1cce52d989c43407acc407525d,tobymao__sqlglot-1143,tobymao/sqlglot,42354,54,54,submit,True,False,1,True,1118,2677.722222222222,54,0.9629629629629629,1.0,0.018518518518518517,11,53,0.007192403715153149,0.17307692307692307,1.0,1.0,0.7407407407407407,0.7322277777777777,0.6392157501125212,0.8719038898260669
chatcmpl-b911b7287059b94185c77dc9ff766e71,microsoft__pybryt-148,microsoft/pybryt,75385,100,100,"RuntimeError: Agent reached maximum iteration. Current iteration: 100, max iteration: 100",False,True,0,True,37891,2760.81,100,0.82,1.0,0.09,19,99,0.03990495542974707,0.3632075471698113,1.0,0.0,0.3,0.723919,0.7323484104155341,0.5418226910415533
chatcmpl-372b5117fdbf2ef4fbdbd10d31e39557,Infinidat__munch-52,Infinidat/munch,33863,41,41,submit,True,False,0,True,17617,3476.682926829268,41,0.926829268292683,1.0,0.04878048780487805,5,40,0.02764058816926703,0.3418803418803419,1.0,0.5,0.975609756097561,0.6523317073170731,0.7192599327826213,0.7898977005953353
chatcmpl-5ad8dc33f5e41d5a010eb1993d61b3a9,Kozea__WeasyPrint-1934,Kozea/WeasyPrint,52740,70,70,submit,True,False,0,True,1475,3113.3571428571427,70,0.9428571428571428,1.0,0.0,3,69,0.06889210085575974,0.43820224719101125,1.0,0.5,0.5714285714285714,0.6886642857142857,0.6749713497260214,0.7100824921154593
chatcmpl-61621f837d2035ac33478b9aac45b20e,nipy__nipype-2673,nipy/nipype,53790,100,100,"RuntimeError: Agent reached maximum iteration. Current iteration: 100, max iteration: 100",False,True,0,True,30086,1248.5,100,0.86,1.0,0.09,14,99,0.05802162595114137,0.22929936305732485,1.0,0.0,0.4,0.87515,0.6512136141353172,0.5763938614135318
chatcmpl-360b63b5f92d804a5eaeede9e0ad8533,pytorch__ignite-281,pytorch/ignite,32768,56,56,submit,True,False,0,True,1596,1731.75,56,0.9821428571428571,1.0,0.0,12,55,0.010146631194703954,0.392,1.0,0.5,0.7142857142857142,0.826825,0.6768924133762652,0.7595701341947694
chatcmpl-1b8f18747f33b4b82bac795e3e1902d2,python-pillow__Pillow-5321,python-pillow/Pillow,45564,61,61,submit,True,False,1,True,17719,2425.1311475409834,61,0.9508196721311475,1.0,0.04918032786885246,5,60,0.03333265735163892,0.09326424870466321,1.0,1.0,0.6557377049180328,0.7574868852459017,0.619263786306494,0.8566969524011413
chatcmpl-a4b944dc262e8f195d8f117f61b10f81,pre-commit__pre-commit-1359,pre-commit/pre-commit,31117,51,51,submit,True,False,0,True,1636,3325.1176470588234,51,0.9215686274509803,1.0,0.0392156862745098,18,50,0.050636568955248526,0.3404255319148936,1.0,0.5,0.7843137254901961,0.6674882352941176,0.7078539914382794,0.7527713795359847
chatcmpl-f0057e56a5b0226802985f0d9b07316e,red-coracle__flask-argon2-10,red-coracle/flask-argon2,41393,64,64,submit,True,False,0,True,6942,1518.8125,64,0.703125,1.0,0.09375,7,63,0.006892720464178429,0.6271186440677966,1.0,0.5,0.625,0.84811875,0.6860466918780778,0.7458224816878078
chatcmpl-4875a135ed03bfb1c7e80e013978a2d4,flyingcircusio__batou-419,flyingcircusio/batou,59003,89,89,submit,True,False,0,True,741,1603.8426966292134,89,0.9325842696629213,1.0,0.0449438202247191,25,88,0.05399952361603452,0.3583617747440273,1.0,0.5,0.5617977528089888,0.8396157303370787,0.5473085749101493,0.7180327676033744
chatcmpl-eec78437fcda9dca541cefb7a42be8f2,zamzterz__Flask-pyoidc-28,zamzterz/Flask-pyoidc,63661,73,73,submit,True,False,1,True,5641,2961.328767123288,73,0.8082191780821918,1.0,0.0958904109589041,14,72,0.06377181661323822,0.463768115942029,1.0,1.0,0.684931506849315,0.7038671232876712,0.713203922925445,0.8638867621555583
chatcmpl-9030d5bc0e7e7aa9846fc187f9c6550b,dwavesystems__dwave-cloud-client-594,dwavesystems/dwave-cloud-client,44677,80,80,submit,True,False,0,True,739,2223.9,80,0.9375,1.0,0.0375,9,79,0.04647241332793741,0.2744186046511628,1.0,0.5,0.5,0.77761,0.6598951721991351,0.7076310172199135
chatcmpl-6f79558934c4eeecd9206d6ef7c6a2d3,python-pillow__Pillow-8087,python-pillow/Pillow,47872,56,56,submit,True,False,1,True,13019,3994.0178571428573,56,0.8928571428571429,1.0,0.07142857142857142,9,55,0.007980685400040238,0.10024449877750612,1.0,1.0,0.7142857142857142,0.6005982142857142,0.6336893728292131,0.8463158122829213
chatcmpl-f709280616996f0a9cca6e31aff3a54a,twisted__towncrier-166,twisted/towncrier,43317,56,56,submit,True,False,1,True,15199,3510.1785714285716,56,0.9642857142857143,1.0,0.0,8,55,0.04668057180648115,0.5900621118012422,1.0,1.0,0.7142857142857142,0.6489821428571428,0.6984190282723722,0.8600463671129515
chatcmpl-fda8874a00632369730a83a9516a8ee6,python-visualization__folium-1213,python-visualization/folium,35191,45,45,submit,True,False,0,True,2226,3275.9777777777776,45,0.9333333333333333,1.0,0.0,8,44,0.040523948744734396,0.2662337662337662,1.0,0.5,0.888888888888889,0.6724022222222222,0.670898239889955,0.7707279351001067
chatcmpl-8f2792a39733e195d567bf5198ece562,ResearchObject__ro-crate-py-163,ResearchObject/ro-crate-py,37946,63,63,submit,True,False,1,True,2001,2537.8888888888887,63,0.9365079365079365,1.0,0.031746031746031744,6,62,0.025211555661185714,0.26063829787234044,1.0,1.0,0.6349206349206349,0.7462111111111112,0.6346245822450939,0.852378251875303
chatcmpl-e393371ee6b71744a9738e760a8ae728,Ouranosinc__xclim-214,Ouranosinc/xclim,84814,98,98,submit,True,False,0,True,3977,2194.816326530612,98,0.7653061224489796,1.0,0.12244897959183673,6,97,0.04026649061796812,0.35789473684210527,1.0,0.5,0.4081632653061224,0.7805183673469388,0.6554297157735122,0.6892533797406165
chatcmpl-1497a305a98fc7d5eaf99b9cf5330834,streamlink__streamlink-2228,streamlink/streamlink,43955,50,50,submit,True,False,1,True,1718,3040.44,50,0.9,1.0,0.06,3,49,0.017148833721435056,0.04771371769383698,1.0,1.0,1.0,0.695956,0.6074970349035123,0.9151431034903512
chatcmpl-b6483a09f5a961a7140551989b2d742f,iterative__dvc-1273,iterative/dvc,39376,63,63,submit,True,False,0,True,898,1987.5873015873017,63,0.6507936507936508,1.0,0.2857142857142857,11,62,0.04072896867862448,0.3630573248407643,1.0,0.5,0.6349206349206349,0.8012412698412699,0.662157024761251,0.7383860199364426
chatcmpl-4be0226b73ee2934494f22e410bdcf71,dfm__tinygp-123,dfm/tinygp,80310,70,70,submit,True,False,0,True,56325,3354.1285714285714,70,0.9285714285714286,1.0,0.02857142857142857,12,69,0.17974436621817888,0.32558139534883723,1.0,0.5,0.7142857142857142,0.6645871428571428,0.6390014852521337,0.7314453628109276
chatcmpl-58b6fc18baf21918ef89d205e0174664,wemake-services__wemake-python-styleguide-2190,wemake-services/wemake-python-styleguide,60657,59,59,submit,True,False,1,True,2576,3636.2881355932204,59,0.8983050847457628,1.0,0.05084745762711865,13,58,0.18663099360961308,0.11297071129707113,1.0,1.0,0.847457627118644,0.636371186440678,0.5915161124393506,0.8740988146337656
chatcmpl-1f312566e507091532e2e38e07c340a4,dwavesystems__dimod-174,dwavesystems/dimod,37697,65,65,submit,True,False,0,True,6174,2323.646153846154,65,0.8615384615384616,1.0,0.046153846153846156,15,64,0.048603984454140374,0.4224137931034483,1.0,0.5,0.7692307692307693,0.7676353846153846,0.6724546696905744,0.7612369285075189
chatcmpl-c997f1dcd328d9a30d75c87263d06822,fsspec__filesystem_spec-1479,fsspec/filesystem_spec,31637,50,50,submit,True,False,1,True,1436,2225.58,50,0.98,1.0,0.0,5,49,0.015483604273942074,0.17316017316017315,1.0,1.0,0.8,0.777442,0.7127075406163971,0.8978870540616398
chatcmpl-ad267d9c3e2306027994e7b2df6995fa,ESMValGroup__ESMValCore-432,ESMValGroup/ESMValCore,57865,66,66,submit,True,False,0,True,1273,2807.7272727272725,66,0.8484848484848485,1.0,0.09090909090909091,13,65,0.2216394150342669,0.11061285500747384,1.0,0.5,0.6060606060606061,0.7192272727272728,0.6592041903902136,0.7200166311602334
chatcmpl-1a9d1dfc0bed95a57eae00a45306a4de,osbuild__osbuild-1648,osbuild/osbuild,78458,76,76,submit,True,False,0,True,25967,2777.8289473684213,76,0.9473684210526315,1.0,0.02631578947368421,8,75,0.033384648177533574,0.18064516129032257,1.0,0.5,0.6578947368421052,0.7222171052631579,0.6270341536651335,0.7276149285244081
chatcmpl-66df67d5a2d86035803e4daa0c1c1408,timvink__mkdocs-table-reader-plugin-18,timvink/mkdocs-table-reader-plugin,31171,50,50,submit,True,False,1,True,2245,2579.96,50,0.96,1.0,0.0,8,49,0.007062124994185956,0.2894736842105263,1.0,1.0,0.8,0.742004,0.6611178448211719,0.8874123844821172
chatcmpl-9e42a4c0fa56776e710b166212369be9,jackdewinter__pymarkdown-1248,jackdewinter/pymarkdown,75566,100,100,"RuntimeError: Agent reached maximum iteration. Current iteration: 100, max iteration: 100",False,True,0,True,7724,2698.75,100,0.91,1.0,0.03,15,99,0.036135247799907365,0.28110599078341014,1.0,0.0,0.3,0.730125,0.7342271246466371,0.5429414624646637
chatcmpl-e55cfb5f4847bdaa20c60af8db53123d,andersbogsnes__ml_tooling-424,andersbogsnes/ml_tooling,45789,58,58,submit,True,False,0,True,1654,3292.5862068965516,58,0.9827586206896551,1.0,0.0,22,57,0.06215112321307011,0.449438202247191,1.0,0.5,0.6896551724137931,0.6707413793103448,0.6940884039640718,0.7329510817757174
chatcmpl-10de3a9db9d299c35145daf780d41afb,twisted__treq-348,twisted/treq,45014,59,59,submit,True,False,1,True,33495,1826.0,59,0.9491525423728814,1.0,0.03389830508474576,13,58,0.045371006367534855,0.4166666666666667,1.0,1.0,0.6779661016949152,0.8174,0.6534631349942345,0.8735495338384065
chatcmpl-cce62b03b4b5752228a25163c6781662,joshy__striprtf-54,joshy/striprtf,70545,100,100,"RuntimeError: Agent reached maximum iteration. Current iteration: 100, max iteration: 100",False,True,0,True,16230,1540.44,100,0.77,1.0,0.11,24,99,0.004706447508504063,0.5251798561151079,1.0,0.0,0.3,0.8459559999999999,0.6999891454073441,0.5568923145407344
chatcmpl-97cbe481a8841e66ee653ba59994fc1f,borgbackup__borg-7941,borgbackup/borg,40440,53,53,submit,True,False,1,True,30228,1746.6603773584907,53,0.9622641509433962,1.0,0.03773584905660377,9,52,0.043457595627234724,0.17647058823529413,1.0,1.0,0.9433962264150944,0.8253339622641509,0.6693753677681747,0.929416876399459
chatcmpl-18df0f6377b97bb17edff1e1d982b559,Yelp__py_zipkin-107,Yelp/py_zipkin,44132,58,58,submit,True,False,1,True,1246,2677.7413793103447,58,0.8275862068965517,1.0,0.1206896551724138,12,57,0.027409873220483036,0.4528301886792453,1.0,1.0,0.8620689655172414,0.7322258620689656,0.7719863762078852,0.9094463100345817
chatcmpl-bc087f2b8705132a1efb572ee91a1bb6,reagento__dishka-189,reagento/dishka,70232,82,82,submit,True,False,0,True,8418,4237.463414634146,82,0.9024390243902439,1.0,0.07317073170731707,27,81,0.0899295482801492,0.288265306122449,1.0,0.5,0.4878048780487805,0.5762536585365854,0.6543721160298849,0.6744362359932323
